No. (NEW),Nama Perguruan Tinggi (NEW),Program Studi (NEW),Akreditasi (NEW REVISI),Program Studi  Kategori (NEW),Jenis Perguruan Tinggi (NEW),Provinsi (NEW),Lokasi (NEW),Daya Tampung 2025/2026 (NEW),Biaya UKT Terendah (REVISI),Biaya UKT Tertinggi (REVISI),Kisaran Biaya UKT (NEW),Biaya Lainnya Terendah (REVISI),Biaya Lainnya Tertinggi (REVISI)
1,Universitas Muhammadiyah Sumatera Utara,Kedokteran,Unggul ,Kedokteran,Swasta,Sumatera Utara,Medan,500,30000000,30000000,Rp30.000.000,240750000,240750000
4,Universitas Katolik Indonesia Atma Jaya,Kedokteran,Unggul ,Kedokteran,Swasta,DKI Jakarta,Jakarta,104,42275000,42275000,Rp42.275.000,45700000,331750000
5,Universitas Katolik Indonesia Atma Jaya,Farmasi,Baik Sekali,Farmasi,Swasta,DKI Jakarta,Jakarta,64,14420000,14420000,Rp14.420.000,12000000,25000000
6,Universitas Kristen Maranatha,Pendidikan Dokter,Unggul ,Kedokteran,Swasta,Jawa Barat,Bandung,310,51250000,56980000,Rp51.250.000 - Rp56.980.000,267000000,267000000
7,Universitas Muhammadiyah Yogyakarta,Kedokteran,Unggul ,Kedokteran,Swasta,DI Yogyakarta,Yogyakarta,140,24960000,108266000,Rp24.960.000 - Rp108.266.000,0,0
8,Universitas Muhammadiyah Yogyakarta,Keperawatan,Unggul ,Keperawatan,Swasta,DI Yogyakarta,Yogyakarta,140,7283500,19002500,Rp7.283.500 - Rp19.002.500,0,0
9,Universitas Muhammadiyah Yogyakarta,Farmasi,Unggul ,Farmasi,Swasta,DI Yogyakarta,Yogyakarta,200,7283500,21999500,Rp7.283.500 - Rp21.999.500,0,0
10,Universitas Islam Bandung,Kedokteran,A,Kedokteran,Swasta,Jawa Barat,Bandung,90,27600000,27600000,Rp27.000.000,0,129575000
11,Universitas Yarsi,Kedokteran,Unggul ,Kedokteran,Swasta,DKI Jakarta,Jakarta,200,40000000,200000000,Rp40.000.000 - Rp200.000.000,1750000,1750000
12,Universitas Pelita Harapan,Kedokteran,Unggul ,Kedokteran,Swasta,Banten,Tangerang,104,50325000,63000000,Rp50.325.000 - Rp63.000.000,278000000,278000000
13,Universitas Abdurrab,Pendidikan Dokter,B,Kedokteran,Swasta,Riau,Pekanbaru,110,25000000,30000000,Rp25.000.000 - Rp30.000.000,317675000,317675000
14,Universitas Abdurrab,Kebidanan,B,Kebidanan,Swasta,Riau,Pekanbaru,100,4950000,4950000,Rp4.950.000 - Rp4.950.000,14850000,14850000
15,Universitas Andalas,Kedokteran,A,Kedokteran,Negeri,Sumatera Barat,Padang,255,500000,14500000,Rp500.000 - Rp14.500.000,100000000,100000000
16,Universitas Andalas,Kebidanan,B,Kebidanan,Negeri,Sumatera Barat,Padang,100,500000,8500000,Rp500.000 - Rp8.500.000,15000000,15000000
17,Universitas Andalas,Psikologi,B,Psikologi,Negeri,Sumatera Barat,Padang,149,500000,8000000,Rp500.000 - Rp8.000.000,15000000,15000000
18,Universitas Andalas,Ilmu Biomedis,A,Ilmu Biomedis,Negeri,Sumatera Barat,Padang,55,500000,8500000,Rp500.000 - Rp8.500.000,15000000,15000000
19,Universitas Jember,Pendidikan Dokter,Unggul ,Kedokteran,Negeri,Jawa Timur,Jember,178,500000,20000000,Rp500.000 - Rp20.000.000,100000000,150000000
20,Universitas Jenderal Soedirman,Kedokteran Umum,Unggul ,Kedokteran,Negeri,Jawa Tengah,Purwokerto,110,500000,17500000,Rp500.000 - Rp17.500.000,100000000,400000000
21,Universitas Jenderal Soedirman,Kedokteran Gigi,Unggul ,Kedokteran Gigi,Negeri,Jawa Tengah,Purwokerto,60,500000,15000000,Rp500.000 - Rp15.000.000,100000000,400000000
22,Universitas Syiah Kuala,Pendidikan Dokter,Unggul ,Kedokteran,Negeri,Aceh,Aceh,250,500000,9000000,Rp500.000 - Rp9.000.000,30000000,30000000
23,Universitas Syiah Kuala,Psikologi,Baik,Psikologi,Negeri,Aceh,Aceh,80,500000,22000000,Rp500.000 - Rp22.000.000,150000000,150000000
24,Universitas Sumatera Utara,Kedokteran,Unggul ,Kedokteran,Negeri,Sumatera Utara,Medan,252,500000,32500000,Rp500.000 - Rp32.500.000,75000000,82000000
25,Universitas Palangka Raya,Kedokteran,Baik Sekali,Kedokteran,Negeri,Kalimantan Tengah,Palangka Raya,115,500000,37831000,Rp500.000 - Rp37.831.000,0,120000000
26,Universitas Palangka Raya,Teknologi Laboratorium Medis,Baik,Teknologi Laboratorium Medis,Negeri,Kalimantan Tengah,Palangka Raya,50,500000,31740000,Rp500.000 - Rp31.740.000,0,10000000
27,Universitas Jambi,Farmasi,Baik Sekali,Farmasi,Negeri,Jambi,Jambi,80,500000,6000000,Rp500.000 - Rp6.000.000,7500000,7500000
28,Universitas Jambi,Kedokteran,Baik Sekali,Kedokteran,Negeri,Jambi,Jambi,120,500000,12000000,Rp500.000 - Rp12.000.000,100000000,100000000
